Date;Open;High;Low;Close;Adj Close;Volume
Jan 19, 2026;93655.67;93660.83;92089.25;92553.59;92553.59;39195241508
Jan 18, 2026;95101.18;95491.51;93588.87;93634.43;93634.43;20809781232
Jan 17, 2026;95525.16;95598.48;95005.62;95099.92;95099.92;16021715122
Jan 16, 2026;95554.1;95801.89;94259.27;95525.12;95525.12;33248170537
Jan 15, 2026;96931.29;97150.17;95103.24;95551.19;95551.19;53086363027
Jan 14, 2026;95322.91;97860.6;94583.05;96929.33;96929.33;60592490863
Jan 13, 2026;91185.34;96011.63;90941.93;95321.78;95321.78;54980674354
Jan 12, 2026;90825.86;92395.52;90055.02;91192.99;91192.99;41346275358
Jan 11, 2026;90385.36;91155.23;90212.02;90827.46;90827.46;17165568977
Jan 10, 2026;90510.1;90713.03;90283.4;90386.65;90386.65;12385895282
Jan 9, 2026;91026.27;91910.67;89625.38;90513.1;90513.1;38305906684
Jan 8, 2026;91309.64;91485.85;89233.88;91027.13;91027.13;42386697030
Jan 7, 2026;93727.47;93738.79;90601.8;91308.05;91308.05;43461295053
Jan 6, 2026;93876.95;94395.3;91286.55;93729.03;93729.03;52430605257
Jan 5, 2026;91414.63;94762.07;91414.63;93882.55;93882.55;53376407252
Jan 4, 2026;90603.0;91712.59;90595.1;91413.49;91413.49;26770491368
Jan 3, 2026;89945.05;90679.57;89328.07;90603.19;90603.19;20774828592
Jan 2, 2026;88733.06;90884.46;88298.62;89944.7;89944.7;46398906171
Jan 1, 2026;87508.05;88803.23;87399.41;88731.98;88731.98;18849043990
Dec 31, 2025;88429.59;89080.29;87130.56;87508.83;87508.83;33830210616
Dec 30, 2025;87134.35;89297.94;86735.55;88430.13;88430.13;35586356225
Dec 29, 2025;87835.79;90299.16;86717.91;87138.14;87138.14;48411625849
Dec 28, 2025;87799.34;87986.89;87394.95;87835.84;87835.84;15156557929
Dec 27, 2025;87301.43;87874.78;87182.98;87802.16;87802.16;13741199310
Dec 26, 2025;87235.51;89459.43;86628.14;87301.43;87301.43;42455674908
Dec 25, 2025;87608.32;88501.79;86949.26;87234.74;87234.74;19953216347
Dec 24, 2025;87404.32;87956.88;86411.8;87611.96;87611.96;25550297986
Dec 23, 2025;88490.03;88898.38;86606.98;87414.0;87414.0;43683011533
Dec 22, 2025;88621.4;90501.93;87908.07;88490.02;88490.02;38047472118
Dec 21, 2025;88344.7;89027.95;87613.2;88621.75;88621.75;19845522660
Dec 20, 2025;88101.67;88497.2;87924.88;88344.0;88344.0;14688196659
Dec 19, 2025;85476.13;89339.12;85107.66;88103.38;88103.38;46733310561
Dec 18, 2025;86144.37;89412.66;84436.31;85462.51;85462.51;52667115348
Dec 17, 2025;87847.62;90264.57;85316.27;86143.76;86143.76;44243392914
Dec 16, 2025;86424.41;88170.09;85381.69;87843.98;87843.98;41262178223
Dec 15, 2025;88171.08;89983.92;85304.08;86419.78;86419.78;45559514323
Dec 14, 2025;90296.44;90498.11;87634.94;88175.18;88175.18;50465972205
Dec 13, 2025;90257.8;90647.57;89800.99;90298.71;90298.71;64237748110
Dec 12, 2025;92513.66;92747.93;89532.6;90270.41;90270.41;80275884583
Dec 11, 2025;92011.3;93554.27;89335.3;92511.34;92511.34;64532834621
Dec 10, 2025;92695.23;94477.16;91640.13;92020.95;92020.95;65420694513
Dec 9, 2025;90639.7;94601.57;89586.98;92691.71;92691.71;66861721440
Dec 8, 2025;90424.59;92267.12;89644.89;90640.2;90640.2;57394099056
Dec 7, 2025;89277.81;91740.84;87799.56;90405.64;90405.64;47394898960
Dec 6, 2025;89389.36;90267.46;88951.66;89272.38;89272.38;37994042405
Dec 5, 2025;92133.65;92702.64;88152.14;89387.76;89387.76;63256398633
Dec 4, 2025;93454.26;94038.24;90976.1;92141.63;92141.63;64538402681
Dec 3, 2025;91345.09;94060.77;91056.39;93527.8;93527.8;77650204986
Dec 2, 2025;86322.54;92316.63;86202.2;91350.2;91350.2;78546798211
Dec 1, 2025;90389.11;90398.16;83862.25;86321.57;86321.57;87962894424
Nov 30, 2025;90838.21;91965.05;90394.31;90394.31;90394.31;38497902869
Nov 29, 2025;90918.74;91187.62;90260.19;90851.76;90851.76;37921773455
Nov 28, 2025;91285.38;92969.09;90257.12;90919.27;90919.27;60895830289
Nov 27, 2025;90517.77;91897.58;90089.52;91285.38;91285.38;57040622845
Nov 26, 2025;87345.59;90581.16;86316.9;90518.37;90518.37;66496301869
Nov 25, 2025;88269.96;88457.34;86131.43;87341.89;87341.89;64837343545
Nov 24, 2025;86798.77;89206.34;85272.2;88270.56;88270.56;74433896110
Nov 23, 2025;84648.61;88038.47;84641.77;86805.01;86805.01;58083435576
Nov 22, 2025;85098.56;85503.01;83490.9;84648.36;84648.36;40793099246
Nov 21, 2025;86528.77;87380.8;80659.81;85090.69;85090.69;129157506112
Nov 20, 2025;91459.35;93025.07;86040.8;86631.9;86631.9;97970645638
Nov 19, 2025;92946.16;92946.16;88526.83;91465.99;91465.99;80350354656
Nov 18, 2025;92094.53;93745.08;89300.46;92948.88;92948.88;101333569062
Nov 17, 2025;94180.88;95928.37;91214.76;92093.88;92093.88;94186165724
Nov 16, 2025;95556.87;96564.19;92971.16;94177.08;94177.08;71086235862
Nov 15, 2025;94420.47;96728.47;94420.47;95549.15;95549.15;38500716654
Nov 14, 2025;99694.7;99804.43;94000.73;94397.79;94397.79;114346441890
Nov 13, 2025;101674.15;104005.49;97988.72;99697.49;99697.49;101546815416
